Date,Close/Last,Volume,Open,High,Low,newclose,newhigh,newopen
03/13/2013,$15.2982,405257558,$15.3018,$15.5179,$15.1914,15.2982, 15.5179, 15.3018
3/12/2013,$15.3011,464568254,$15.5571,$15.6743,$15.2704,15.3011, 15.6743, 15.5571
3/11/2013,$15.6382,472885371,$15.3482,$15.6789,$15.1836,15.6382, 15.6789, 15.3482
3/8/2013,$15.4186,389866804,$15.35,$15.5511,$15.3075,15.4186, 15.5511, 15.35
3/7/2013,$15.3779,467879253,$15.1607,$15.4289,$15.0379,15.3779, 15.4289, 15.1607
3/6/2013,$15.2022,459441176,$15.5182,$15.5446,$15.1582,15.2022, 15.5446, 15.5182
3/5/2013,$15.398,636908185,$15.0529,$15.5425,$15.0268,15.398, 15.5425, 15.0529
3/4/2013,$15.0018,577328969,$15.2786,$15.2929,$14.9643,15.0018, 15.2929, 15.2786
3/1/2013,$15.3739,551278339,$15.6429,$15.6493,$15.3564,15.3739, 15.6493, 15.6429
02/28/2013,$15.7643,322049711,$15.8589,$15.9954,$15.7643,15.7643, 15.9954, 15.8589
02/27/2013,$15.8775,586219246,$16.0154,$16.1586,$15.7375,15.8775, 16.1586, 16.0154
02/26/2013,$16.0346,500162120,$15.8507,$16.1264,$15.6307,16.0346, 16.1264, 15.8507
02/25/2013,$15.8143,371253811,$16.2089,$16.2543,$15.8061,15.8143, 16.2543, 16.2089
02/22/2013,$16.1004,330240828,$16.0446,$16.1286,$15.95,16.1004, 16.1286, 16.0446
02/21/2013,$15.9307,446254301,$15.9286,$16.0418,$15.815,15.9307, 16.0418, 15.9286
02/20/2013,$16.0304,475291970,$16.3461,$16.3461,$16.0286,16.0304, 16.3461, 16.3461
02/19/2013,$16.4282,435279706,$16.4679,$16.5261,$16.2089,16.4282, 16.5261, 16.4679
02/15/2013,$16.4343,391495003,$16.7446,$16.7914,$16.4257,16.4343, 16.7914, 16.7446
02/14/2013,$16.6639,355142618,$16.59,$16.8443,$16.5721,16.6639, 16.8443, 16.59
02/13/2013,$16.6789,474731130,$16.6861,$16.9157,$16.5436,16.6789, 16.9157, 16.6861
2/12/2013,$16.7107,606973117,$17.1254,$17.2279,$16.7051,16.7107, 17.2279, 17.1254
2/11/2013,$17.1404,512825955,$17.0179,$17.3193,$16.9018,17.1404, 17.3193, 17.0179
